"Project","Issue Type","File Name","Element","Line No","Activity","Comment"
"Amazon Shopping_v12.6.0.100_apkpure.com","Small Text Size","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\scan_it_failure_overlay_layout.xml","TextView","23",,"android:textSize:11.0sp"
"Amazon Shopping_v12.6.0.100_apkpure.com","Small Text Size","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\scan_it_failure_overlay_layout.xml","TextView","24",,"android:textSize:11.0sp"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\scan_overlay.xml","ImageView","4",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\search_bar.xml","EditText","7",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","Untouchable Target","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\search_entry_bar.xml","Button","9",,"android:layout_width:1.0px"
"Amazon Shopping_v12.6.0.100_apkpure.com","Untouchable Target","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\search_entry_bar.xml","Button","9",,"android:layout_height:1.0px"
"Amazon Shopping_v12.6.0.100_apkpure.com","Small Text Size","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\search_refine_group_view.xml","TextView","6",,"android:textSize:11.0dip"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\search_refine_group_view.xml","ImageView","8",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\search_refine_item.xml","ImageView","5",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\search_widget_flyout.xml","ImageView","4",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\search_widget_flyout.xml","ListView","6",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\search_widget_flyout.xml","ListView","7",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\search_widget_flyout.xml","ImageView","9",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\shipping_label_results_layout.xml","ImageView","14",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\shipping_label_results_layout.xml","ImageView","15",,"android:contentDescription:null"
